c_custkey|c_name|c_address|c_nationkey|c_phone|c_acctbal|c_mktsegment|c_comment|o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
73|Customer#000000073|8IhIxreu4Ug6tt5mog4|0|10-473-439-3214|4288.50|BUILDING|usual, unusual packages sleep busily along the furiou|103938|73|F|141130.08|1995-02-09|3-MEDIUM|Clerk#000000429|0|ross the furiously express courts. p|103938|19986|256|1|5.00|9529.90|0.08|0.00|A|F|1995-04-20|1995-04-10|1995-05-11|NONE|AIR|nusual packages wake ca
73|Customer#000000073|8IhIxreu4Ug6tt5mog4|0|10-473-439-3214|4288.50|BUILDING|usual, unusual packages sleep busily along the furiou|103938|73|F|141130.08|1995-02-09|3-MEDIUM|Clerk#000000429|0|ross the furiously express courts. p|103938|18593|594|3|7.00|10581.13|0.10|0.07|A|F|1995-05-18|1995-04-26|1995-06-07|DELIVER IN PERSON|SHIP|tes affix after the regular 
73|Customer#000000073|8IhIxreu4Ug6tt5mog4|0|10-473-439-3214|4288.50|BUILDING|usual, unusual packages sleep busily along the furiou|103938|73|F|141130.08|1995-02-09|3-MEDIUM|Clerk#000000429|0|ross the furiously express courts. p|103938|17268|269|5|15.00|17778.90|0.06|0.02|R|F|1995-05-31|1995-04-22|1995-06-01|COLLECT COD|RAIL|hely regular pinto
98|Customer#000000098|7yiheXNSpuEAwbswDW|12|22-885-845-6889|-551.37|BUILDING|ages. furiously pending accounts are quickly carefully final foxes: busily pe|269376|98|F|232125.74|1995-02-25|5-LOW|Clerk#000000092|0|he permanently ironic pinto beans use furiously fluffily pe|269376|14144|673|1|37.00|39151.18|0.05|0.01|A|F|1995-04-07|1995-05-12|1995-05-03|NONE|REG AIR| furiously special p
98|Customer#000000098|7yiheXNSpuEAwbswDW|12|22-885-845-6889|-551.37|BUILDING|ages. furiously pending accounts are quickly carefully final foxes: busily pe|269376|98|F|232125.74|1995-02-25|5-LOW|Clerk#000000092|0|he permanently ironic pinto beans use furiously fluffily pe|269376|10570|831|3|12.00|17766.84|0.04|0.00|R|F|1995-05-06|1995-05-22|1995-05-29|COLLECT COD|FOB|sly even sauternes. blithely 
98|Customer#000000098|7yiheXNSpuEAwbswDW|12|22-885-845-6889|-551.37|BUILDING|ages. furiously pending accounts are quickly carefully final foxes: busily pe|269376|98|F|232125.74|1995-02-25|5-LOW|Clerk#000000092|0|he permanently ironic pinto beans use furiously fluffily pe|269376|19584|123|4|24.00|36085.92|0.09|0.08|R|F|1995-04-14|1995-04-10|1995-04-18|NONE|MAIL|s about the quickly final pi
98|Customer#000000098|7yiheXNSpuEAwbswDW|12|22-885-845-6889|-551.37|BUILDING|ages. furiously pending accounts are quickly carefully final foxes: busily pe|269376|98|F|232125.74|1995-02-25|5-LOW|Clerk#000000092|0|he permanently ironic pinto beans use furiously fluffily pe|269376|12347|610|5|45.00|56670.30|0.08|0.07|A|F|1995-05-17|1995-05-08|1995-06-04|TAKE BACK RETURN|MAIL|deas. slyly pending plat
98|Customer#000000098|7yiheXNSpuEAwbswDW|12|22-885-845-6889|-551.37|BUILDING|ages. furiously pending accounts are quickly carefully final foxes: busily pe|269376|98|F|232125.74|1995-02-25|5-LOW|Clerk#000000092|0|he permanently ironic pinto beans use furiously fluffily pe|269376|1460|712|6|6.00|8168.76|0.08|0.03|R|F|1995-04-25|1995-04-30|1995-04-26|TAKE BACK RETURN|AIR|posits. furiously 
103|Customer#000000103|8KIsQX4LJ7QMsj6DrtFtXu0nUEdV,8a|9|19-216-107-2107|2757.45|BUILDING|furiously pending notornis boost slyly around the blithely ironic ideas? final, even instructions cajole fl|163396|103|F|44153.31|1995-02-09|2-HIGH|Clerk#000000394|0|he dependencies detect across the accounts. fu|163396|794|795|1|18.00|30506.22|0.05|0.06|R|F|1995-05-22|1995-04-07|1995-05-23|TAKE BACK RETURN|FOB|. thin packages thrash silently. regul
103|Customer#000000103|8KIsQX4LJ7QMsj6DrtFtXu0nUEdV,8a|9|19-216-107-2107|2757.45|BUILDING|furiously pending notornis boost slyly around the blithely ironic ideas? final, even instructions cajole fl|431360|103|F|103640.65|1995-01-27|4-NOT SPECIFIED|Clerk#000000357|0|gular, final theodolites. slyly regular accounts nag carefully |431360|2460|965|1|19.00|25886.74|0.03|0.04|R|F|1995-05-06|1995-04-08|1995-05-21|NONE|TRUCK|carefully furiously fin
103|Customer#000000103|8KIsQX4LJ7QMsj6DrtFtXu0nUEdV,8a|9|19-216-107-2107|2757.45|BUILDING|furiously pending notornis boost slyly around the blithely ironic ideas? final, even instructions cajole fl|431360|103|F|103640.65|1995-01-27|4-NOT SPECIFIED|Clerk#000000357|0|gular, final theodolites. slyly regular accounts nag carefully |431360|18468|737|2|31.00|42980.26|0.07|0.02|R|F|1995-04-25|1995-03-21|1995-04-28|DELIVER IN PERSON|MAIL|deas are carefully. furiously fin
103|Customer#000000103|8KIsQX4LJ7QMsj6DrtFtXu0nUEdV,8a|9|19-216-107-2107|2757.45|BUILDING|furiously pending notornis boost slyly around the blithely ironic ideas? final, even instructions cajole fl|431360|103|F|103640.65|1995-01-27|4-NOT SPECIFIED|Clerk#000000357|0|gular, final theodolites. slyly regular accounts nag carefully |431360|208|709|3|14.00|15514.80|0.08|0.03|R|F|1995-05-11|1995-03-24|1995-05-27|COLLECT COD|TRUCK|deposits de
109|Customer#000000109|OOOkYBgCMzgMQXUmkocoLb56rfrdWp2NE2c|16|26-992-422-8153|-716.10|BUILDING|es. fluffily final dependencies sleep along the blithely even pinto beans. final deposits haggle furiously furiou|351522|109|P|145800.02|1995-03-05|4-NOT SPECIFIED|Clerk#000000842|0|p along the slyly even packages. ideas ac|351522|6608|377|2|45.00|68157.00|0.02|0.08|R|F|1995-05-18|1995-05-20|1995-05-29|NONE|MAIL|. quick instructions h
109|Customer#000000109|OOOkYBgCMzgMQXUmkocoLb56rfrdWp2NE2c|16|26-992-422-8153|-716.10|BUILDING|es. fluffily final dependencies sleep along the blithely even pinto beans. final deposits haggle furiously furiou|351522|109|P|145800.02|1995-03-05|4-NOT SPECIFIED|Clerk#000000842|0|p along the slyly even packages. ideas ac|351522|18203|740|3|6.00|6727.20|0.09|0.07|R|F|1995-04-20|1995-04-11|1995-05-08|TAKE BACK RETURN|TRUCK|sly after the sentiments; slyly bold
109|Customer#000000109|OOOkYBgCMzgMQXUmkocoLb56rfrdWp2NE2c|16|26-992-422-8153|-716.10|BUILDING|es. fluffily final dependencies sleep along the blithely even pinto beans. final deposits haggle furiously furiou|351522|109|P|145800.02|1995-03-05|4-NOT SPECIFIED|Clerk#000000842|0|p along the slyly even packages. ideas ac|351522|13640|430|4|11.00|17090.04|0.08|0.07|N|O|1995-06-26|1995-05-23|1995-07-12|NONE|TRUCK|s deposits
113|Customer#000000113|eaOl5UBXIvdY57rglaIzqvfPD,MYfK|12|22-302-930-4756|2912.00|BUILDING|usly regular theodolites boost furiously doggedly pending instructio|6022|113|F|290259.89|1995-02-13|1-URGENT|Clerk#000000899|0|al dependencies affix according to the|6022|6119|632|1|23.00|23577.53|0.06|0.04|A|F|1995-05-05|1995-03-25|1995-05-14|COLLECT COD|SHIP| ideas use furiously express gifts. fluffil
113|Customer#000000113|eaOl5UBXIvdY57rglaIzqvfPD,MYfK|12|22-302-930-4756|2912.00|BUILDING|usly regular theodolites boost furiously doggedly pending instructio|6022|113|F|290259.89|1995-02-13|1-URGENT|Clerk#000000899|0|al dependencies affix according to the|6022|14345|346|2|37.00|46595.58|0.07|0.01|N|F|1995-06-10|1995-03-15|1995-07-07|NONE|FOB|ts. bold deposits are eve
113|Customer#000000113|eaOl5UBXIvdY57rglaIzqvfPD,MYfK|12|22-302-930-4756|2912.00|BUILDING|usly regular theodolites boost furiously doggedly pending instructio|6022|113|F|290259.89|1995-02-13|1-URGENT|Clerk#000000899|0|al dependencies affix according to the|6022|3271|525|4|24.00|28182.48|0.01|0.03|N|F|1995-06-10|1995-05-02|1995-06-22|COLLECT COD|TRUCK| furiously express deposit
113|Customer#000000113|eaOl5UBXIvdY57rglaIzqvfPD,MYfK|12|22-302-930-4756|2912.00|BUILDING|usly regular theodolites boost furiously doggedly pending instructio|6022|113|F|290259.89|1995-02-13|1-URGENT|Clerk#000000899|0|al dependencies affix according to the|6022|15582|113|6|42.00|62898.36|0.05|0.04|N|F|1995-06-14|1995-03-21|1995-06-27|COLLECT COD|REG AIR|ole blithely pending requests. fin
121|Customer#000000121|tv nCR2YKupGN73mQudO|17|27-411-990-2959|6428.32|BUILDING|uriously stealthy ideas. carefully final courts use carefully|276994|121|F|121406.17|1994-12-08|5-LOW|Clerk#000000020|0|al excuses about the final packages wake agai|276994|8084|859|2|43.00|42659.44|0.05|0.04|R|F|1995-04-04|1995-01-17|1995-04-25|COLLECT COD|SHIP|e carefully blithely spec
188|Customer#000000188|58Srs6gEEoD3ZfwgXDM1OayRiaSY6K9YsveWwV|5|15-613-528-7811|9533.37|BUILDING|st slyly special platelets. bold,|154660|188|F|145406.66|1995-02-06|4-NOT SPECIFIED|Clerk#000000267|0|ts use slowly about the foxes. even packages haggle s|154660|9067|586|1|39.00|38066.34|0.02|0.00|N|F|1995-06-07|1995-04-13|1995-07-04|TAKE BACK RETURN|AIR|osits haggle never final packa
188|Customer#000000188|58Srs6gEEoD3ZfwgXDM1OayRiaSY6K9YsveWwV|5|15-613-528-7811|9533.37|BUILDING|st slyly special platelets. bold,|154660|188|F|145406.66|1995-02-06|4-NOT SPECIFIED|Clerk#000000267|0|ts use slowly about the foxes. even packages haggle s|154660|2445|202|2|14.00|18864.16|0.04|0.08|A|F|1995-04-12|1995-04-15|1995-05-03|TAKE BACK RETURN|RAIL|y. regular, pending deposits according t
188|Customer#000000188|58Srs6gEEoD3ZfwgXDM1OayRiaSY6K9YsveWwV|5|15-613-528-7811|9533.37|BUILDING|st slyly special platelets. bold,|154660|188|F|145406.66|1995-02-06|4-NOT SPECIFIED|Clerk#000000267|0|ts use slowly about the foxes. even packages haggle s|154660|10764|545|3|43.00|72014.68|0.00|0.05|A|F|1995-05-27|1995-03-22|1995-06-12|NONE|FOB|e against th
188|Customer#000000188|58Srs6gEEoD3ZfwgXDM1OayRiaSY6K9YsveWwV|5|15-613-528-7811|9533.37|BUILDING|st slyly special platelets. bold,|154660|188|F|145406.66|1995-02-06|4-NOT SPECIFIED|Clerk#000000267|0|ts use slowly about the foxes. even packages haggle s|154660|17106|641|4|13.00|13300.30|0.10|0.08|R|F|1995-04-06|1995-04-06|1995-04-26|COLLECT COD|TRUCK| foxes among the bol
188|Customer#000000188|58Srs6gEEoD3ZfwgXDM1OayRiaSY6K9YsveWwV|5|15-613-528-7811|9533.37|BUILDING|st slyly special platelets. bold,|451236|188|F|122930.85|1994-12-23|2-HIGH|Clerk#000000445|0|bout the blithe, regular packages haggl|451236|7810|68|3|20.00|34356.20|0.08|0.02|A|F|1995-04-15|1995-02-04|1995-04-19|NONE|REG AIR|ke furiously. finally special tithes
211|Customer#000000211|URhlVPzz4FqXem|13|23-965-335-9471|4198.72|BUILDING|furiously regular foxes boost fluffily special ideas. carefully regular dependencies are. slyly ironic |485826|211|P|72651.90|1995-03-23|1-URGENT|Clerk#000000365|0|y. regular instructions try to boost even pinto beans. ironic co|485826|15527|58|1|8.00|11540.16|0.08|0.08|R|F|1995-04-20|1995-04-30|1995-05-05|NONE|TRUCK| x-ray enticingly express accounts. bli
211|Customer#000000211|URhlVPzz4FqXem|13|23-965-335-9471|4198.72|BUILDING|furiously regular foxes boost fluffily special ideas. carefully regular dependencies are. slyly ironic |485826|211|P|72651.90|1995-03-23|1-URGENT|Clerk#000000365|0|y. regular instructions try to boost even pinto beans. ironic co|485826|16419|420|2|34.00|45403.94|0.08|0.05|N|O|1995-06-23|1995-06-02|1995-07-09|TAKE BACK RETURN|REG AIR|e the special ideas. even reques
211|Customer#000000211|URhlVPzz4FqXem|13|23-965-335-9471|4198.72|BUILDING|furiously regular foxes boost fluffily special ideas. carefully regular dependencies are. slyly ironic |485826|211|P|72651.90|1995-03-23|1-URGENT|Clerk#000000365|0|y. regular instructions try to boost even pinto beans. ironic co|485826|3812|813|3|3.00|5147.43|0.04|0.06|N|F|1995-05-27|1995-04-29|1995-06-23|NONE|REG AIR|ackages haggle regularly a
211|Customer#000000211|URhlVPzz4FqXem|13|23-965-335-9471|4198.72|BUILDING|furiously regular foxes boost fluffily special ideas. carefully regular dependencies are. slyly ironic |485826|211|P|72651.90|1995-03-23|1-URGENT|Clerk#000000365|0|y. regular instructions try to boost even pinto beans. ironic co|485826|18654|655|4|2.00|3145.30|0.07|0.02|A|F|1995-05-23|1995-06-03|1995-05-25|DELIVER IN PERSON|SHIP|ts since the unusual, ironic deposi
211|Customer#000000211|URhlVPzz4FqXem|13|23-965-335-9471|4198.72|BUILDING|furiously regular foxes boost fluffily special ideas. carefully regular dependencies are. slyly ironic |485826|211|P|72651.90|1995-03-23|1-URGENT|Clerk#000000365|0|y. regular instructions try to boost even pinto beans. ironic co|485826|1106|107|5|9.00|9063.90|0.07|0.08|N|O|1995-07-05|1995-04-28|1995-07-24|COLLECT COD|MAIL|ng to the furiou
220|Customer#000000220|TbUHVhkttz|16|26-201-301-7371|9131.64|BUILDING| even, even accounts are. ironic |221921|220|F|259205.05|1995-02-14|1-URGENT|Clerk#000000951|0|s haggle across the blithely bold theo|221921|19923|193|2|42.00|77402.64|0.08|0.07|R|F|1995-05-09|1995-03-30|1995-05-30|TAKE BACK RETURN|FOB|cies across the blithely ironic instru
220|Customer#000000220|TbUHVhkttz|16|26-201-301-7371|9131.64|BUILDING| even, even accounts are. ironic |221921|220|F|259205.05|1995-02-14|1-URGENT|Clerk#000000951|0|s haggle across the blithely bold theo|221921|4555|64|4|33.00|48165.15|0.07|0.00|R|F|1995-04-21|1995-05-14|1995-05-18|TAKE BACK RETURN|TRUCK|ly special dependencies. stealthy deposit
220|Customer#000000220|TbUHVhkttz|16|26-201-301-7371|9131.64|BUILDING| even, even accounts are. ironic |221921|220|F|259205.05|1995-02-14|1-URGENT|Clerk#000000951|0|s haggle across the blithely bold theo|221921|18928|465|6|9.00|16622.28|0.03|0.00|A|F|1995-05-28|1995-03-26|1995-06-07|NONE|MAIL|s. quickly 
220|Customer#000000220|TbUHVhkttz|16|26-201-301-7371|9131.64|BUILDING| even, even accounts are. ironic |221921|220|F|259205.05|1995-02-14|1-URGENT|Clerk#000000951|0|s haggle across the blithely bold theo|221921|15865|396|7|29.00|51644.94|0.06|0.05|A|F|1995-03-30|1995-05-07|1995-04-17|DELIVER IN PERSON|SHIP|regular packages hagg
220|Customer#000000220|TbUHVhkttz|16|26-201-301-7371|9131.64|BUILDING| even, even accounts are. ironic |385313|220|P|120754.06|1995-03-21|4-NOT SPECIFIED|Clerk#000000800|0|ar ideas nag blithely. even|385313|12225|750|1|25.00|28430.50|0.10|0.02|A|F|1995-04-14|1995-04-20|1995-05-04|TAKE BACK RETURN|SHIP|nto beans. regular deposits
220|Customer#000000220|TbUHVhkttz|16|26-201-301-7371|9131.64|BUILDING| even, even accounts are. ironic |385313|220|P|120754.06|1995-03-21|4-NOT SPECIFIED|Clerk#000000800|0|ar ideas nag blithely. even|385313|16687|688|2|20.00|32073.60|0.06|0.02|A|F|1995-05-03|1995-06-14|1995-06-02|TAKE BACK RETURN|MAIL|ending packages. slow, ironic requests
220|Customer#000000220|TbUHVhkttz|16|26-201-301-7371|9131.64|BUILDING| even, even accounts are. ironic |385313|220|P|120754.06|1995-03-21|4-NOT SPECIFIED|Clerk#000000800|0|ar ideas nag blithely. even|385313|13588|589|3|38.00|57060.04|0.04|0.07|N|O|1995-06-19|1995-05-14|1995-06-23|DELIVER IN PERSON|FOB|counts. excuses sleep abou
223|Customer#000000223|ftau6Pk,brboMyEl,,kFm|20|30-193-643-1517|7476.20|BUILDING|al, regular requests run furiously blithely silent packages. blithely ironic accounts across the furious|168961|223|P|181676.06|1995-03-27|3-MEDIUM|Clerk#000000873|0| even ideas sleep fluffily according to the carefully regular |168961|2068|321|1|3.00|2910.18|0.05|0.04|N|O|1995-06-29|1995-06-23|1995-07-24|TAKE BACK RETURN|FOB|deas. quickly final excuses kindle. re
223|Customer#000000223|ftau6Pk,brboMyEl,,kFm|20|30-193-643-1517|7476.20|BUILDING|al, regular requests run furiously blithely silent packages. blithely ironic accounts across the furious|168961|223|P|181676.06|1995-03-27|3-MEDIUM|Clerk#000000873|0| even ideas sleep fluffily according to the carefully regular |168961|4799|308|2|17.00|28964.43|0.09|0.06|A|F|1995-05-11|1995-04-30|1995-05-13|COLLECT COD|SHIP|posits despite the furiously regula
223|Customer#000000223|ftau6Pk,brboMyEl,,kFm|20|30-193-643-1517|7476.20|BUILDING|al, regular requests run furiously blithely silent packages. blithely ironic accounts across the furious|168961|223|P|181676.06|1995-03-27|3-MEDIUM|Clerk#000000873|0| even ideas sleep fluffily according to the carefully regular |168961|2925|926|3|1.00|1827.92|0.07|0.01|N|O|1995-07-02|1995-06-20|1995-08-01|COLLECT COD|RAIL|ructions. slyly regular
223|Customer#000000223|ftau6Pk,brboMyEl,,kFm|20|30-193-643-1517|7476.20|BUILDING|al, regular requests run furiously blithely silent packages. blithely ironic accounts across the furious|168961|223|P|181676.06|1995-03-27|3-MEDIUM|Clerk#000000873|0| even ideas sleep fluffily according to the carefully regular |168961|4211|212|4|46.00|51299.66|0.07|0.01|A|F|1995-04-25|1995-05-24|1995-05-09|NONE|TRUCK|riously regular requests sleep blith
223|Customer#000000223|ftau6Pk,brboMyEl,,kFm|20|30-193-643-1517|7476.20|BUILDING|al, regular requests run furiously blithely silent packages. blithely ironic accounts across the furious|168961|223|P|181676.06|1995-03-27|3-MEDIUM|Clerk#000000873|0| even ideas sleep fluffily according to the carefully regular |168961|5772|538|5|2.00|3355.54|0.03|0.02|N|O|1995-06-24|1995-04-29|1995-07-16|COLLECT COD|SHIP|t courts h
223|Customer#000000223|ftau6Pk,brboMyEl,,kFm|20|30-193-643-1517|7476.20|BUILDING|al, regular requests run furiously blithely silent packages. blithely ironic accounts across the furious|168961|223|P|181676.06|1995-03-27|3-MEDIUM|Clerk#000000873|0| even ideas sleep fluffily according to the carefully regular |168961|9121|381|6|9.00|9271.08|0.08|0.08|N|O|1995-07-26|1995-05-11|1995-08-08|TAKE BACK RETURN|TRUCK|usily sly deposits are furiously 
223|Customer#000000223|ftau6Pk,brboMyEl,,kFm|20|30-193-643-1517|7476.20|BUILDING|al, regular requests run furiously blithely silent packages. blithely ironic accounts across the furious|168961|223|P|181676.06|1995-03-27|3-MEDIUM|Clerk#000000873|0| even ideas sleep fluffily according to the carefully regular |168961|7864|379|7|49.00|86821.14|0.03|0.05|R|F|1995-05-26|1995-05-16|1995-06-13|TAKE BACK RETURN|AIR|tructions against the furiousl
229|Customer#000000229|Sbvjxgmwy4u6Ks1FH7lxo7toMmeU5dG|1|11-243-298-4029|7568.07|BUILDING|bold accounts haggle furiously even deposits. regular instruct|436675|229|F|318908.51|1995-01-24|4-NOT SPECIFIED|Clerk#000000482|0|carefully quickly p|436675|878|379|1|46.00|81828.02|0.01|0.07|A|F|1995-05-18|1995-03-26|1995-05-31|COLLECT COD|FOB|tions serve
229|Customer#000000229|Sbvjxgmwy4u6Ks1FH7lxo7toMmeU5dG|1|11-243-298-4029|7568.07|BUILDING|bold accounts haggle furiously even deposits. regular instruct|436675|229|F|318908.51|1995-01-24|4-NOT SPECIFIED|Clerk#000000482|0|carefully quickly p|436675|9019|20|7|42.00|38976.42|0.07|0.05|R|F|1995-04-24|1995-04-21|1995-04-28|NONE|RAIL|ar instruction
277|Customer#000000277|BWGsQevHk0BfRJV3RRB ElFc|23|33-696-831-5394|8876.10|BUILDING|phins; bold, final accounts print. carefully silent |124069|277|F|175783.95|1995-01-03|4-NOT SPECIFIED|Clerk#000000540|0|structions wake alongside of the bold pearls. regular packag|124069|8167|168|6|37.00|39780.92|0.10|0.05|R|F|1995-04-26|1995-03-18|1995-05-13|COLLECT COD|SHIP|counts. packages cajole. regu
278|Customer#000000278|4jqLjG 2aeYMFEJi|20|30-445-570-5841|7621.56|BUILDING| pending, express requests cajole carefully special packages. blithely pending accounts affix furiously. fluffily |227204|278|F|215732.47|1995-01-26|2-HIGH|Clerk#000000096|0|cross the packages use after the even accounts. slyly unu|227204|18365|170|1|32.00|41067.52|0.00|0.02|A|F|1995-04-29|1995-03-16|1995-05-13|TAKE BACK RETURN|RAIL|deas. deposits sleep slyl
278|Customer#000000278|4jqLjG 2aeYMFEJi|20|30-445-570-5841|7621.56|BUILDING| pending, express requests cajole carefully special packages. blithely pending accounts affix furiously. fluffily |488928|278|F|211593.27|1995-02-15|5-LOW|Clerk#000000899|0|he carefully unusual frays. slyly ironic |488928|10669|450|2|13.00|20535.58|0.01|0.07|R|F|1995-05-12|1995-04-01|1995-05-20|TAKE BACK RETURN|RAIL|ar foxes haggle after t
278|Customer#000000278|4jqLjG 2aeYMFEJi|20|30-445-570-5841|7621.56|BUILDING| pending, express requests cajole carefully special packages. blithely pending accounts affix furiously. fluffily |488928|278|F|211593.27|1995-02-15|5-LOW|Clerk#000000899|0|he carefully unusual frays. slyly ironic |488928|8499|16|3|29.00|40817.21|0.04|0.05|A|F|1995-05-11|1995-03-19|1995-05-29|DELIVER IN PERSON|TRUCK|boldly regular requests. e
278|Customer#000000278|4jqLjG 2aeYMFEJi|20|30-445-570-5841|7621.56|BUILDING| pending, express requests cajole carefully special packages. blithely pending accounts affix furiously. fluffily |488928|278|F|211593.27|1995-02-15|5-LOW|Clerk#000000899|0|he carefully unusual frays. slyly ironic |488928|11397|398|6|37.00|48410.43|0.01|0.01|R|F|1995-05-03|1995-04-10|1995-05-31|TAKE BACK RETURN|RAIL|rom the slyly silent pinto beans. furious
